STATION,STATIONNAME,STATE,LATITUDE,LONGITUDE,ELEVATION,YEAR,DAY,TIME,MonthlyMaxPrecip,MonthlyTotalSnowfall,MonthlyMaxSnowfall,MonthlyAvgTemp,month,MonthlyAvgDaylight,MonthlyAvgTempDiff,MonthlyAvgPreciptation,MonthlyAvgRelativeHumidity,MonthlyAvgWindSpeed,MonthlyAvgPeakWindSpeed,MonthlyAvgSnowDepth,MonthlyAvgSnowfall,MonthlyMaxTempDiff,MonthlyMinDailyTempDiff,cluster
72677024033,BILLINGS INTERNATIONAL AIRPORT,MT,45.8069,-108.5422,1091.5,2018,31,23:59:00,0.25,7.0,4.6,-2.89,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,9
72645014898,GREEN BAY A S INTERNATIONAL AIRPORT,WI,44.4794,-88.1366,209.4,2020,31,23:59:00,0.49,16.2,3.2,-3.17,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,1
72434013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT,MO,38.75246,-90.37342,162.0,2021,31,23:59:00,1.27,3.0,2.3,1.67,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,0
72223013894,MOBILE REGIONAL AIRPORT,AL,30.68819,-88.24598,65.5,2021,31,23:59:00,0.42,0.0,0.0,10.44,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,2
72513014777,WILKES BARRE SCRANTON INTERNATIONAL AIRPORT,PA,41.3336,-75.7269,283.5,2019,31,23:59:00,1.5,11.1,5.0,-3.28,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,1
72407093730,ATLANTIC CITY INTERNATIONAL AIRPORT,NJ,39.45202,-74.56699,18.3,2018,31,23:59:00,0.85,14.5,13.2,0.06,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,1
72326013891,KNOXVILLE AIRPORT,TN,35.8181,-83.9858,293.2,2020,31,23:59:00,2.69,0.0,0.0,7.33,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,5
72440013995,SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT,MO,37.23985,-93.39007,384.7,2019,31,23:59:00,1.29,2.9,1.2,1.28,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,0
72312003870,GRNVL SPART INTERNATIONAL AIRPORT,SC,34.90611,-82.21255,291.1,2020,31,23:59:00,2.28,0.1,0.1,7.5,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,5
72658014922,MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT,MN,44.8831,-93.2289,265.8,2019,31,23:59:00,0.36,6.8,2.6,-9.83,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,6
72532014842,GENERAL WAYNE A. DOWNING INTERNATIONAL AIRPORT,IL,40.6675,-89.6839,198.1,2020,31,23:59:00,1.69,10.0,3.2,-1.28,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,9
74736093042,DALHART FAA AIRPORT,TX,36.0167,-102.55,1216.2,2019,31,23:59:00,0.05,0.0,0.0,2.94,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,0
72637014826,FLINT FCWOS,MI,42.96684,-83.74996,234.8,2021,31,23:59:00,0.48,12.4,4.2,-2.11,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,1
72597024225,MEDFORD INTERNATIONAL AIRPORT,OR,42.37505,-122.8771,400.2,2019,31,23:59:00,1.9,0.0,0.0,5.72,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,5
72365023050,ALBUQUERQUE INTERNATIONAL AIRPORT,NM,35.0419,-106.6155,1618.5,2019,31,23:59:00,0.32,2.0,2.0,2.17,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,0
91182022521,HONOLULU INTERNATIONAL AIRPORT,HI,21.32402,-157.93946,1.9,2021,31,23:59:00,2.81,0.0,0.0,24.78,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,7
72438814829,GOSHEN MUNICIPAL AIRPORT,IN,41.5333,-85.7833,253.0,2018,31,23:59:00,0.31,0.0,0.0,-3.94,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,6
72406093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT,MD,39.1733,-76.684,47.5,2020,31,23:59:00,1.49,1.5,1.5,4.56,1,962.0905494975412,9.990928003485458,0.0951768651521863,70.35127909096433,8.347919766352568,26.00005539859288,2.005671717599255,0.2325080638130939,38.33,0.55,5
